name,artist,genre,bvid
说好不哭,周杰伦,流行,0
说散就散,陈泳彤,流行,0
身骑白马,徐佳莹,流行,0
那么骄傲,金海心,流行,0
金玉良缘,李琦,流行,0
阴天快乐,陈奕迅,EMO,0
飞鸟和蝉,任然,流行,0
lovelove,金润吉,流行,0
陪我去流浪,阿悄,流行,0
一直很安静,阿桑,流行,0
贝加尔湖畔,李健,流行,0
刚好遇见你,李玉刚,流行,0
三拜红尘凉,尹昔眠,戏腔,0
会呼吸的痛,梁静茹,流行,0
你曾是少年,S.H.E.,流行,0
其实都没有,杨宗纬,流行,0
勇气大爆发,贝乐虎,儿歌,0
可以不走吗,陶心瑶,EMO,0
可惜不是你,梁静茹,流行,0
可惜没如果,林俊杰,EMO,0
奇妙能力歌,陈粒,民谣,0
如果爱忘了,戚薇,流行,0
想你这件事,烟（许佳豪）,说唱,0
想念拟人化,孟慧圆,EMO,0
慢慢喜欢你,莫文蔚,流行,0
我的歌声里,曲婉婷,流行,0
我配不上你,夏天Alex,流行,0
最炫民族风,凤凰传奇,流行,0
死了都要爱,信乐团,流行,0
江上晚风吟,小田音乐社/尹喜眠,古风,0
盛夏的果实,莫文蔚,EMO,0
背对背拥抱,林俊杰,流行,0
苍狗与海鸥,周林枫,甜歌,0
越来越不懂,封茗囧菌,甜歌,0
隐形的翅膀,张韶涵,流行,0
什么样的爱情,高鱼,流行,0
从开始到现在,张信哲,流行,0
去有风的地方,郁可唯,流行,0
幸福了然后呢,黄丽玲,流行,0
无人知晓的我,A-Lin,流行,0
永不失联的爱,周兴哲,流行,0
火红的萨日朗,乌兰托娅,流行,0
等到世界颠倒,张静汶,EMO,BV19X4y177fn
银河爱情故事,刘洋,流行,0
阿拉斯加海湾,菲道尔,EMO,0
我想对你说Baby,王绎龙,流行,0
你就不要想起我,田馥甄,流行,0
你的眼睛像星星,郭正正,甜歌,0
再见只是陌生人,庄心妍,流行,0
写给未来的自己,梁静茹,流行,0
带我去很远地方,黄霄云,流行,0
当想你成为习惯,Keykey,流行,0
满天星辰不及你,ycccc,流行,0
白月光与朱砂痣,大籽,流行,0
这世界那么多人,莫文蔚,流行,0
一个人想着一个人,曾沛慈,流行,0
在加纳共和国离婚,菲道尔 & 大颖,EMO,0
路边的野花不要采,邓丽君,流行,0
就让这大雨全都落下,容祖儿,流行,0
山茶花读不懂白玫瑰,Lil笑笑,流行,0
有个爱你的人不容易,那英,流行,0
下辈子不一定还能遇见你,莫叫姐姐版,民谣,0
写给我第一个喜欢的女孩的歌,洛天依/ilem,甜歌,BV1Yw4m1i78L
